班級序號,年度期別,班別代號,班別名稱,主辦單位,訓練地點,"訓練日期
(起)","訓練日期
(迄)","使用
電腦教室",職能屬性,"訓練類別
(大項)","訓練類別
(細目)",人數,"訓練
天數",週次,授課方式,可代訓,混成課程
24004.0,115-1 ,1K020041,人工智慧開發實作班,024資訊系統處,高訓中心,115/04/13,115/04/17,V,"必要技術,核心技術",專業性人員,必要技術專業訓練            ,16,5,16,實體,,如何進行無紙化會議？
77006.0,115-1 ,1B026001,配電線路活線作業班,077配電處,高訓中心,115/04/13,115/04/24,,核心技術,領班、資深技術員,核心技能專業訓練            ,48,12,16,實體,V,
513008.0,115-1 ,1B028003,配電線路裝修職類乙級術科訓練班,513訓練所,高訓中心,115/04/13,115/04/17,,核心技術,領班、資深技術員,核心技能專業訓練            ,40,5,16,實體,,
513009.0,115-1 ,1B039002,用電設備檢驗丙級技術士訓練班,513訓練所,高訓中心,115/04/13,115/04/17,,,技術員(評價7~10等),必要技能專業訓練            ,40,5,16,實體,,
513010.0,115-1 ,4M020001,基層主管培訓班,513訓練所,高訓中心,115/04/13,115/04/24,,核心技術,專業性人員,基層主管培育訓練            ,34,12,16,實體,,
